"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"12802.UB6-0001.assembled.fastq",471,497,9.59257609260019,498.541076717108,10.9506480151206,4.42771420180416,0.9553670368,22.4049654852403,82.359569633267,0.719385261880963,0.99792
"12802.UB6-0002.assembled.fastq",471,516.418604651163,15.0121814337634,509.747914548709,11.1494509664563,4.08745238655182,0.9004790272,10.0481332915588,82.359569633267,0.664101807729008,0.99748
"12802.UB6-0003.assembled.fastq",290,313.785714285714,10.3022608162424,313.924536053854,8.78733208247291,2.60221685888811,0.7287112064,3.68610876523873,46.0392203019888,0.458954410901489,0.99852
"12802.UB6-0004.assembled.fastq",445,480.333333333333,12.7499643314886,477.582899161953,10.7470729320569,4.46396294530492,0.9634194912,27.3369625739049,76.8926083691949,0.732028299222221,0.99788
"12802.UB6-0005.assembled.fastq",391,412.794117647059,9.23885640970527,412.901440189655,9.99006067131591,4.08436950789444,0.9388240768,16.3463001078176,65.794829939658,0.684297139179065,0.99844
"12802.UB6-0006.assembled.fastq",377,410.6,12.6102216017639,408.002264945943,10.0136732330269,4.0003472435787,0.9374750432,15.993613609342,62.9761799764528,0.674339498313894,0.99804
"12802.UB6-0007.assembled.fastq",407,438.333333333333,11.8914599107964,432.961980860544,10.2160103048091,4.41078973261852,0.9688607776,32.1138398112343,69.0460806872884,0.7340533973172,0.99808
"12802.UB6-0008.assembled.fastq",678,764.684931506849,21.3676737914519,761.6243108079,13.6820276498718,4.79148078276572,0.9639539168,27.7422652123269,128.513074155149,0.734985815035865,0.99548
"12802.UB6-0009.assembled.fastq",486,569.025,24.3196209599653,545.124652737821,11.5355782094681,4.33089564533422,0.9468255488,18.8060238974314,85.5489427188768,0.700088844175373,0.99672
"12802.UB6-0010.assembled.fastq",406,438.620689655172,12.924424112612,432.962651250396,10.1405426027355,4.47041892684546,0.9644866848,28.1584525231821,68.8419514379639,0.744281731036589,0.99824
"12802.UB6-0011.assembled.fastq",510,554.722222222222,14.0365011646626,560.292156059636,11.8536704674903,4.75062378077736,0.9797573088,49.4005461092051,90.7046427288388,0.76200045036814,0.9972
"12802.UB6-0012.assembled.fastq",606,656.791044776119,14.6479362138903,661.684314429824,12.7531051747493,4.95097678375609,0.982650544,57.6386948386163,111.952131249801,0.772759407780566,0.99668
"12802.UB6-0013.assembled.fastq",214,227.333333333333,8.85006819195881,220.877877720814,7.15206156180302,3.78503599187983,0.9512762464,20.523870311995,32.1431527232542,0.705376986643951,0.99936
"12802.UB6-0014.assembled.fastq",304,321.647058823529,9.31682322641839,317.858023837376,8.52984971654172,4.23924994053589,0.9645642336,28.2200754094597,48.6944439093002,0.741512926287405,0.999
"12802.UB6-0015.assembled.fastq",409,439.136363636364,11.0246353001261,442.462397319849,10.4041137433506,4.23078429902017,0.9613500224,25.8732362111382,69.454706980436,0.703522562881769,0.99792
"12802.UB6-0016.assembled.fastq",490,530.737704918033,12.7409371489327,538.960053926835,11.555206916977,4.47373469461556,0.9693209184,32.595499860074,86.4037488836058,0.722221813418922,0.99716
"12802.UB6-0017.assembled.fastq",287,298.5,6.42586904527111,298.161347990044,8.44230534828183,4.06883036301801,0.9577556,23.6717766141784,45.4739251228478,0.718940392053496,0.99908
"12802.UB6-0018.assembled.fastq",490,530.317073170732,13.894843779251,524.279902835526,11.2944132920891,4.57201475492481,0.9713226048,34.8706705412352,86.4037488836058,0.738087752779362,0.99768
"12802.UB6-0019.assembled.fastq",354,371.032258064516,7.89658403904692,371.882889016451,9.42887888293087,3.92300581165296,0.9295213312,14.1886902381448,58.3999498155674,0.668394506141684,0.99868
"12802.UB6-0020.assembled.fastq",493,544.483870967742,17.9877449778777,525.003162686063,11.1684870999345,4.68341278922018,0.9737208608,38.0529968044007,87.0460354323442,0.755327128427846,0.99772
"12802.UB6-0021.assembled.fastq",526,552.5,9.60555340375512,556.536192073743,11.6474606981177,4.52933879065871,0.9483537152,19.3624769694954,94.177288530235,0.722924347428071,0.99784
"12802.UB6-0022.assembled.fastq",498,525.823529411765,11.042744454827,522.377562850604,11.0333949606118,4.50755641674163,0.9496338112,19.8545894344104,88.1187561161198,0.725784362354417,0.99824
"12802.UB6-0024.assembled.fastq",375,391.028571428571,7.36920363333001,392.364852936891,9.78010761735469,4.21326979822861,0.9583386368,24.0030551856738,62.5755450392783,0.710869307254222,0.99864
"12802.UB6-0025.assembled.fastq",518,546.651515151515,9.73310144162348,554.238496636559,11.5882331791964,4.36669444086773,0.9452623456,18.2689596578694,92.4374210527873,0.698673878152689,0.99752
"12802.UB6-0026.assembled.fastq",287,288.875,1.89260061166343,291.025877830097,8.06991892807486,4.39206106313474,0.9595926592,24.7479784663286,45.4739251228478,0.77605351438413,0.9996
"12802.UB6-0027.assembled.fastq",536,582.442307692308,14.5657989462303,580.098688238096,11.9015751776191,4.4319558205238,0.937250272,15.9363240586477,96.3618582164499,0.705261171535619,0.9972
"12802.UB6-0030.assembled.fastq",421,438.103448275862,8.03709304044405,435.377412786853,10.0863035326274,4.81642942707365,0.9824805984,57.0795751380001,71.916703452705,0.797074646042744,0.99872
