SampleDI	Grupo
12802.UB6-0001.assembled.fastq	Control1
12802.UB6-0002.assembled.fastq	Control1
12802.UB6-0003.assembled.fastq	Control1
12802.UB6-0004.assembled.fastq	Control1
12802.UB6-0005.assembled.fastq	Control1
12802.UB6-0006.assembled.fastq	3NP1
12802.UB6-0007.assembled.fastq	3NP1
12802.UB6-0008.assembled.fastq	3NP1
12802.UB6-0009.assembled.fastq	3NP1
12802.UB6-0010.assembled.fastq	3NP1
12802.UB6-0011.assembled.fastq	RVTL
12802.UB6-0012.assembled.fastq	RVTL
12802.UB6-0013.assembled.fastq	RVTL
12802.UB6-0014.assembled.fastq	RVTL
12802.UB6-0015.assembled.fastq	RVTL
12802.UB6-0016.assembled.fastq	RVTL_3NP
12802.UB6-0017.assembled.fastq	RVTL_3NP
12802.UB6-0018.assembled.fastq	RVTL_3NP
12802.UB6-0019.assembled.fastq	RVTL_3NP
12802.UB6-0020.assembled.fastq	RVTL_3NP
12802.UB6-0021.assembled.fastq	Control2
12802.UB6-0022.assembled.fastq	Control2
12802.UB6-0023.assembled.fastq	Control2
12802.UB6-0024.assembled.fastq	Control2
12802.UB6-0025.assembled.fastq	Control2
12802.UB6-0026.assembled.fastq	3NP2
12802.UB6-0027.assembled.fastq	3NP2
12802.UB6-0028.assembled.fastq	3NP2
12802.UB6-0029.assembled.fastq	3NP2
12802.UB6-0030.assembled.fastq	3NP2
12802.UB6-0031.assembled.fastq	CGA
12802.UB6-0032.assembled.fastq	CGA
12802.UB6-0033.assembled.fastq	CGA
12802.UB6-0034.assembled.fastq	CGA
12802.UB6-0035.assembled.fastq	CGA
12802.UB6-0036.assembled.fastq	3NP_CGA
12802.UB6-0037.assembled.fastq	3NP_CGA
12802.UB6-0038.assembled.fastq	3NP_CGA
12802.UB6-0039.assembled.fastq	3NP_CGA
12802.UB6-0040.assembled.fastq	3NP_CGA
