"","12802.UB6-0021.assembled.fastq","12802.UB6-0022.assembled.fastq","12802.UB6-0023.assembled.fastq","12802.UB6-0024.assembled.fastq","12802.UB6-0025.assembled.fastq","12802.UB6-0026.assembled.fastq","12802.UB6-0027.assembled.fastq","12802.UB6-0028.assembled.fastq","12802.UB6-0029.assembled.fastq","12802.UB6-0030.assembled.fastq","12802.UB6-0031.assembled.fastq","12802.UB6-0032.assembled.fastq","12802.UB6-0033.assembled.fastq","12802.UB6-0034.assembled.fastq","12802.UB6-0035.assembled.fastq","12802.UB6-0036.assembled.fastq","12802.UB6-0037.assembled.fastq","12802.UB6-0038.assembled.fastq","12802.UB6-0039.assembled.fastq","12802.UB6-0040.assembled.fastq"
"12802.UB6-0021.assembled.fastq",0,0.69495,0.53215,0.43385,0.41505,0.489,0.5252,0.7723,0.6457,0.5086,0.5645,0.59485,0.5132,0.5844,0.62115,0.3979,0.38165,0.5389,0.5683,0.579
"12802.UB6-0022.assembled.fastq",0.69495,0,0.50215,0.7726,0.7387,0.781,0.66785,0.86305,0.8107,0.7496,0.82335,0.7746,0.79495,0.68745,0.7992,0.74795,0.7796,0.80065,0.78255,0.78135
"12802.UB6-0023.assembled.fastq",0.53215,0.50215,0,0.59155,0.5811,0.54935,0.5666,0.74775,0.6082,0.64405,0.64615,0.6896,0.63765,0.5711,0.69845,0.6002,0.59045,0.6565,0.67395,0.66985
"12802.UB6-0024.assembled.fastq",0.43385,0.7726,0.59155,0,0.29455,0.56945,0.55875,0.56805,0.52015,0.4587,0.3691,0.3797,0.4084,0.57445,0.54665,0.416,0.3816,0.37275,0.3885,0.50265
"12802.UB6-0025.assembled.fastq",0.41505,0.7387,0.5811,0.29455,0,0.47555,0.4276,0.6259,0.5605,0.5792,0.45485,0.448,0.50525,0.56335,0.5841,0.37255,0.4219,0.4653,0.49405,0.52985
"12802.UB6-0026.assembled.fastq",0.489,0.781,0.54935,0.56945,0.47555,0,0.46895,0.7517,0.6122,0.67405,0.6751,0.72075,0.63045,0.53385,0.63385,0.5405,0.5075,0.68085,0.7135,0.5856
"12802.UB6-0027.assembled.fastq",0.5252,0.66785,0.5666,0.55875,0.4276,0.46895,0,0.76285,0.65065,0.665,0.6569,0.675,0.67645,0.62355,0.67945,0.4622,0.5554,0.6472,0.67535,0.66435
"12802.UB6-0028.assembled.fastq",0.7723,0.86305,0.74775,0.56805,0.6259,0.7517,0.76285,0,0.47535,0.65365,0.4547,0.4411,0.5901,0.63775,0.58025,0.6379,0.6489,0.4613,0.48525,0.58775
"12802.UB6-0029.assembled.fastq",0.6457,0.8107,0.6082,0.52015,0.5605,0.6122,0.65065,0.47535,0,0.5574,0.39495,0.46525,0.51935,0.518,0.57295,0.5595,0.54935,0.41975,0.45175,0.54135
"12802.UB6-0030.assembled.fastq",0.5086,0.7496,0.64405,0.4587,0.5792,0.67405,0.665,0.65365,0.5574,0,0.44925,0.45315,0.38195,0.5264,0.54585,0.45115,0.42225,0.40235,0.3957,0.53085
"12802.UB6-0031.assembled.fastq",0.5645,0.82335,0.64615,0.3691,0.45485,0.6751,0.6569,0.4547,0.39495,0.44925,0,0.23075,0.3735,0.584,0.51255,0.46825,0.4533,0.24735,0.2453,0.4764
"12802.UB6-0032.assembled.fastq",0.59485,0.7746,0.6896,0.3797,0.448,0.72075,0.675,0.4411,0.46525,0.45315,0.23075,0,0.40265,0.58155,0.50665,0.49985,0.49555,0.30235,0.2492,0.4689
"12802.UB6-0033.assembled.fastq",0.5132,0.79495,0.63765,0.4084,0.50525,0.63045,0.67645,0.5901,0.51935,0.38195,0.3735,0.40265,0,0.49725,0.4285,0.40165,0.323,0.3602,0.3768,0.41515
"12802.UB6-0034.assembled.fastq",0.5844,0.68745,0.5711,0.57445,0.56335,0.53385,0.62355,0.63775,0.518,0.5264,0.584,0.58155,0.49725,0,0.55055,0.5338,0.4731,0.5784,0.58045,0.5008
"12802.UB6-0035.assembled.fastq",0.62115,0.7992,0.69845,0.54665,0.5841,0.63385,0.67945,0.58025,0.57295,0.54585,0.51255,0.50665,0.4285,0.55055,0,0.5619,0.49505,0.52825,0.51825,0.3054
"12802.UB6-0036.assembled.fastq",0.3979,0.74795,0.6002,0.416,0.37255,0.5405,0.4622,0.6379,0.5595,0.45115,0.46825,0.49985,0.40165,0.5338,0.5619,0,0.3127,0.41325,0.4773,0.518
"12802.UB6-0037.assembled.fastq",0.38165,0.7796,0.59045,0.3816,0.4219,0.5075,0.5554,0.6489,0.54935,0.42225,0.4533,0.49555,0.323,0.4731,0.49505,0.3127,0,0.46185,0.462,0.4588
"12802.UB6-0038.assembled.fastq",0.5389,0.80065,0.6565,0.37275,0.4653,0.68085,0.6472,0.4613,0.41975,0.40235,0.24735,0.30235,0.3602,0.5784,0.52825,0.41325,0.46185,0,0.23015,0.4713
"12802.UB6-0039.assembled.fastq",0.5683,0.78255,0.67395,0.3885,0.49405,0.7135,0.67535,0.48525,0.45175,0.3957,0.2453,0.2492,0.3768,0.58045,0.51825,0.4773,0.462,0.23015,0,0.46835
"12802.UB6-0040.assembled.fastq",0.579,0.78135,0.66985,0.50265,0.52985,0.5856,0.66435,0.58775,0.54135,0.53085,0.4764,0.4689,0.41515,0.5008,0.3054,0.518,0.4588,0.4713,0.46835,0
