"","12802.UB6-0021.assembled.fastq","12802.UB6-0022.assembled.fastq","12802.UB6-0023.assembled.fastq","12802.UB6-0024.assembled.fastq","12802.UB6-0025.assembled.fastq","12802.UB6-0026.assembled.fastq","12802.UB6-0027.assembled.fastq","12802.UB6-0028.assembled.fastq","12802.UB6-0029.assembled.fastq","12802.UB6-0030.assembled.fastq","12802.UB6-0031.assembled.fastq","12802.UB6-0032.assembled.fastq","12802.UB6-0033.assembled.fastq","12802.UB6-0034.assembled.fastq","12802.UB6-0035.assembled.fastq","12802.UB6-0036.assembled.fastq","12802.UB6-0037.assembled.fastq","12802.UB6-0038.assembled.fastq","12802.UB6-0039.assembled.fastq","12802.UB6-0040.assembled.fastq"
"12802.UB6-0021.assembled.fastq",0,0.727157360406091,0.765957446808511,0.748930099857347,0.767813267813268,0.775474956822107,0.76603325415677,0.791808873720137,0.7744,0.771580345285525,0.824786324786325,0.770334928229665,0.758823529411765,0.678855325914149,0.845201238390093,0.754182754182754,0.729226361031519,0.747910863509749,0.750692520775623,0.802684563758389
"12802.UB6-0022.assembled.fastq",0.727157360406091,0,0.725,0.769679300291545,0.7875,0.80565371024735,0.767156862745098,0.813708260105448,0.780366056572379,0.807486631016043,0.850507982583454,0.799758745476478,0.802067946824225,0.70873786407767,0.844408427876823,0.759946949602122,0.776504297994269,0.77683615819209,0.760342368045649,0.828103683492497
"12802.UB6-0023.assembled.fastq",0.765957446808511,0.725,0,0.724465558194774,0.76536312849162,0.66304347826087,0.775831873905429,0.642066420664207,0.701219512195122,0.791322314049587,0.790523690773067,0.801393728222997,0.746268656716418,0.662125340599455,0.746913580246914,0.766208251473477,0.753986332574032,0.757777777777778,0.745535714285714,0.797385620915033
"12802.UB6-0024.assembled.fastq",0.748930099857347,0.769679300291545,0.724465558194774,0,0.697530864197531,0.723897911832947,0.731988472622478,0.699052132701422,0.680434782608696,0.744262295081967,0.755140186915888,0.733236151603499,0.719626168224299,0.669306930693069,0.797131147540984,0.711783439490446,0.720562390158172,0.692579505300353,0.663669064748201,0.774247491638796
"12802.UB6-0025.assembled.fastq",0.767813267813268,0.7875,0.76536312849162,0.697530864197531,0,0.761904761904762,0.71025641025641,0.759191176470588,0.755517826825127,0.796221322537112,0.796352583586626,0.743686868686869,0.746522411128284,0.725239616613419,0.829228243021346,0.736486486486486,0.749633967789165,0.741279069767442,0.720176730486009,0.793539325842697
"12802.UB6-0026.assembled.fastq",0.775474956822107,0.80565371024735,0.66304347826087,0.723897911832947,0.761904761904762,0,0.753064798598949,0.653710247349823,0.68955223880597,0.794354838709677,0.779411764705882,0.813874788494078,0.739024390243902,0.666666666666667,0.774853801169591,0.795112781954887,0.755555555555555,0.753812636165577,0.760775862068966,0.777056277056277
"12802.UB6-0027.assembled.fastq",0.76603325415677,0.767156862745098,0.775831873905429,0.731988472622478,0.71025641025641,0.753064798598949,0,0.772020725388601,0.761674718196457,0.794805194805195,0.818830242510699,0.775534441805226,0.78826895565093,0.720858895705522,0.833333333333333,0.751928020565553,0.78581173260573,0.748959778085992,0.739554317548747,0.814569536423841
"12802.UB6-0028.assembled.fastq",0.791808873720137,0.813708260105448,0.642066420664207,0.699052132701422,0.759191176470588,0.653710247349823,0.772020725388601,0,0.596153846153846,0.758835758835759,0.692105263157895,0.722627737226277,0.703517587939698,0.62568306010929,0.748502994011976,0.73015873015873,0.743820224719101,0.69634703196347,0.67741935483871,0.771241830065359
"12802.UB6-0029.assembled.fastq",0.7744,0.780366056572379,0.701219512195122,0.680434782608696,0.755517826825127,0.68955223880597,0.761674718196457,0.596153846153846,0,0.73062015503876,0.71824480369515,0.715254237288136,0.713004484304933,0.618226600985222,0.763636363636364,0.709796672828096,0.740816326530612,0.617582417582418,0.620087336244541,0.745967741935484
"12802.UB6-0030.assembled.fastq",0.771580345285525,0.807486631016043,0.791322314049587,0.744262295081967,0.796221322537112,0.794354838709677,0.794805194805195,0.758835758835759,0.73062015503876,0,0.808013355592654,0.772423025435074,0.734024179620035,0.674033149171271,0.808630393996248,0.748905109489051,0.727868852459016,0.7392,0.728295819935691,0.783489096573209
"12802.UB6-0031.assembled.fastq",0.824786324786325,0.850507982583454,0.790523690773067,0.755140186915888,0.796352583586626,0.779411764705882,0.818830242510699,0.692105263157895,0.71824480369515,0.808013355592654,0,0.769578313253012,0.775628626692456,0.764940239043825,0.811111111111111,0.794585987261146,0.788530465949821,0.751361161524501,0.734432234432234,0.790408525754885
"12802.UB6-0032.assembled.fastq",0.770334928229665,0.799758745476478,0.801393728222997,0.733236151603499,0.743686868686869,0.813874788494078,0.775534441805226,0.722627737226277,0.715254237288136,0.772423025435074,0.769578313253012,0,0.765140324963072,0.720062208398134,0.83596214511041,0.741808650065531,0.753191489361702,0.701166180758017,0.685294117647059,0.792349726775956
"12802.UB6-0033.assembled.fastq",0.758823529411765,0.802067946824225,0.746268656716418,0.719626168224299,0.746522411128284,0.739024390243902,0.78826895565093,0.703517587939698,0.713004484304933,0.734024179620035,0.775628626692456,0.765140324963072,0,0.663179916317992,0.774336283185841,0.708818635607321,0.668582375478927,0.716878402903811,0.71841155234657,0.745519713261649
"12802.UB6-0034.assembled.fastq",0.678855325914149,0.70873786407767,0.662125340599455,0.669306930693069,0.725239616613419,0.666666666666667,0.720858895705522,0.62568306010929,0.618226600985222,0.674033149171271,0.764940239043825,0.720062208398134,0.663179916317992,0,0.762013729977117,0.65669014084507,0.627766599597586,0.678095238095238,0.667304015296367,0.737132352941177
"12802.UB6-0035.assembled.fastq",0.845201238390093,0.844408427876823,0.746913580246914,0.797131147540984,0.829228243021346,0.774853801169591,0.833333333333333,0.748502994011976,0.763636363636364,0.808630393996248,0.811111111111111,0.83596214511041,0.774336283185841,0.762013729977117,0,0.826989619377163,0.789046653144016,0.805882352941176,0.795275590551181,0.773930753564155
