"","12802.UB6-0021.assembled.fastq","12802.UB6-0022.assembled.fastq","12802.UB6-0023.assembled.fastq","12802.UB6-0024.assembled.fastq","12802.UB6-0025.assembled.fastq","12802.UB6-0026.assembled.fastq","12802.UB6-0027.assembled.fastq","12802.UB6-0028.assembled.fastq","12802.UB6-0029.assembled.fastq","12802.UB6-0030.assembled.fastq","12802.UB6-0031.assembled.fastq","12802.UB6-0032.assembled.fastq","12802.UB6-0033.assembled.fastq","12802.UB6-0034.assembled.fastq","12802.UB6-0035.assembled.fastq","12802.UB6-0036.assembled.fastq","12802.UB6-0037.assembled.fastq","12802.UB6-0038.assembled.fastq","12802.UB6-0039.assembled.fastq","12802.UB6-0040.assembled.fastq"
"12802.UB6-0021.assembled.fastq",0,0.5046223244416,0.217970364283794,0.224799145197336,0.151086771967177,0.188711130268135,0.2839882782982,0.396706141603479,0.278314615916879,0.322455116289429,0.284152147076967,0.324651289425924,0.318521955423998,0.278882375598188,0.291994002396496,0.164752189437624,0.181179045316086,0.280196909464726,0.335774721152849,0.302731256935958
"12802.UB6-0022.assembled.fastq",0.5046223244416,0,0.407428623106468,0.638417842844561,0.564019874358841,0.476299890560958,0.430568389617533,0.59871611864769,0.586758891286962,0.599628458101037,0.641777686946671,0.604208911204077,0.64625361684823,0.441981939117846,0.5291843837434,0.591697740979507,0.608574042405233,0.61952948712461,0.614788156815842,0.53046169462928
"12802.UB6-0023.assembled.fastq",0.217970364283794,0.407428623106468,0,0.357165126446803,0.279951138120791,0.228786592084255,0.317974810419835,0.379341420999814,0.301445056599712,0.401870048377784,0.377600984486279,0.38273583739873,0.398475828063157,0.249532456857408,0.354537608728011,0.317903148812221,0.326841232588525,0.362097441268564,0.405333569874615,0.352830319532065
"12802.UB6-0024.assembled.fastq",0.224799145197336,0.638417842844561,0.357165126446803,0,0.210102574044147,0.334598102236088,0.400360291786624,0.401403781235777,0.226712926297776,0.219203703559956,0.141868457571583,0.199403494013672,0.202036261691868,0.368266489478414,0.271783401114209,0.211315803052535,0.150100762938142,0.182423442023961,0.195060115335946,0.279953081165061
"12802.UB6-0025.assembled.fastq",0.151086771967177,0.564019874358841,0.279951138120791,0.210102574044147,0,0.20723484194664,0.252743104963305,0.348327940002345,0.28185231287965,0.382717327383928,0.283546525058679,0.314480824389738,0.345859699901771,0.296638676259013,0.315300339522479,0.171311700109694,0.219065214637086,0.300015943514189,0.351862660682934,0.317179525166722
"12802.UB6-0026.assembled.fastq",0.188711130268135,0.476299890560958,0.228786592084255,0.334598102236088,0.20723484194664,0,0.186735784113172,0.380438252087418,0.30444580384551,0.442691111267901,0.384464466605199,0.420463917295776,0.427803876623221,0.275988128087539,0.331799662195686,0.250447801033442,0.286658747604992,0.384783249961944,0.449804342318099,0.319605689576345
"12802.UB6-0027.assembled.fastq",0.2839882782982,0.430568389617533,0.317974810419835,0.400360291786624,0.252743104963305,0.186735784113172,0,0.427385319257146,0.413911861549916,0.529925227505543,0.466864557306647,0.503667838864275,0.519884661730399,0.379628886666824,0.427717433101503,0.29445225467794,0.366905386676459,0.468036522029305,0.534208210686479,0.43413324271723
"12802.UB6-0028.assembled.fastq",0.396706141603479,0.59871611864769,0.379341420999814,0.401403781235777,0.348327940002345,0.380438252087418,0.427385319257146,0,0.323176037150884,0.446552955865734,0.336322153237071,0.352796363046017,0.422496758093902,0.363247694528497,0.380842830784793,0.340103340656692,0.3770536020958,0.29606172585196,0.375515823182875,0.398114385126124
"12802.UB6-0029.assembled.fastq",0.278314615916879,0.586758891286962,0.301445056599712,0.226712926297776,0.28185231287965,0.30444580384551,0.413911861549916,0.323176037150884,0,0.246233217680242,0.177474118304276,0.227178225982156,0.234984017501027,0.255718231637358,0.218531685277321,0.239840028582824,0.184516310113472,0.192070252630028,0.236972613250703,0.197000785878334
"12802.UB6-0030.assembled.fastq",0.322455116289429,0.599628458101037,0.401870048377784,0.219203703559956,0.382717327383928,0.442691111267901,0.529925227505543,0.446552955865734,0.246233217680242,0,0.165529795963174,0.164419480197642,0.139438719054395,0.321655691867033,0.264667783237133,0.274436480130848,0.230526038068982,0.176333418009952,0.123573057177887,0.251056675743592
"12802.UB6-0031.assembled.fastq",0.284152147076967,0.641777686946671,0.377600984486279,0.141868457571583,0.283546525058679,0.384464466605199,0.466864557306647,0.336322153237071,0.177474118304276,0.165529795963174,0,0.106535325631598,0.143128644683979,0.338323126503804,0.223861837607719,0.224793593326459,0.18063687982814,0.108270568713537,0.109760266304362,0.228738428672513
"12802.UB6-0032.assembled.fastq",0.324651289425924,0.604208911204077,0.38273583739873,0.199403494013672,0.314480824389738,0.420463917295776,0.503667838864275,0.352796363046017,0.227178225982156,0.164419480197642,0.106535325631598,0,0.165785460597685,0.318564191360345,0.210366933428675,0.276514920996909,0.23311428997188,0.13856184326647,0.0957145309190565,0.198785971573644
"12802.UB6-0033.assembled.fastq",0.318521955423998,0.64625361684823,0.398475828063157,0.202036261691868,0.345859699901771,0.427803876623221,0.519884661730399,0.422496758093902,0.234984017501027,0.139438719054395,0.143128644683979,0.165785460597685,0,0.339253460489634,0.223074626974991,0.266963383061697,0.196430728640423,0.182468669186924,0.148507572178996,0.23106461288126
"12802.UB6-0034.assembled.fastq",0.278882375598188,0.441981939117846,0.249532456857408,0.368266489478414,0.296638676259013,0.275988128087539,0.379628886666824,0.363247694528497,0.255718231637358,0.321655691867033,0.338323126503804,0.318564191360345,0.339253460489634,0,0.282878504229796,0.298828266417509,0.301689658945615,0.317192075624153,0.338606333107453,0.262552746341093
